fileid,lon,lat,date,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10
100825,-0.140229158,51.51525345,202303,0.24749444,-0.22400434,-0.11830858,0.09086814,0.07214176,-0.06897363,0.0056558778,0.037636686,-0.05832562,0.07972634
101008,-0.126541922,51.50859128,202208,-0.07914846,-0.073735505,0.13487858,0.12573409,-0.02246175,0.08480224,-0.022838285,-0.0070278086,0.031302713,0.013934643
101009,-0.126182525,51.50860117,202208,-0.07997668,-0.07310656,0.14976424,0.10161727,-0.006898797,0.13125241,-0.022976018,-0.031222297,0.010067327,0.046606604
101010,-0.125823161,51.50861252,202304,-0.037231162,-0.0872346,0.090307854,0.0773113,-0.024346335,0.023419501,-0.06769849,0.032367524,-0.007073951,-0.005562727
101012,-0.129570284,51.50822722,202407,-0.090059265,-0.083058625,0.109426476,0.12998787,-0.02235466,0.14431211,0.07522647,0.052181873,-0.016196834,0.041644033
101013,-0.1292306,51.50829417,202407,-0.027732547,-0.069866255,0.15876225,0.101874135,-0.044675156,0.13121802,0.052186184,0.060264938,-0.010528603,0.039505158
101014,-0.128881664,51.5079598,202407,0.075599305,-0.008706257,0.20734447,0.0986297,0.0053538675,0.053154815,0.02402047,0.013189243,0.009101198,0.036346115
101015,-0.128794426,51.50774175,202407,0.037109405,-0.007605749,0.18344861,0.11010001,-0.007630728,0.078530796,-0.030081023,-0.018465817,0.05569084,0.026926892
101033,-0.13050507,51.50788958,202407,-0.13640934,0.028964875,0.17049628,0.12282254,0.010829895,0.087527715,0.029288724,0.057471782,-0.040808257,0.04633256
101034,-0.130189301,51.50799752,202407,-0.17333901,-0.00096971483,0.13421154,0.13163583,-0.02254543,0.058355782,0.0714608,0.082208596,-0.054293312,0.023503065
101035,-0.129881439,51.50811414,202407,-0.18674995,-0.10633809,0.085465066,0.09783858,0.017948773,0.10346395,0.05758125,0.03877609,-0.03707709,0.027520811
101321,-0.130104273,51.50857425,202304,0.15635264,-0.12354335,-0.117926955,0.08646037,0.08040504,0.017688375,-0.024390493,0.03264751,-0.054353584,-0.036901962
101322,-0.129957074,51.50837027,202304,0.03638582,-0.0123746535,-0.060599152,0.11004173,0.07078203,0.055815604,0.0015482187,-0.033687886,0.074663736,-0.031405803
101323,-0.128137,51.5069342,202206,-0.055909056,-0.006829643,0.12718843,0.13897714,0.03501045,0.121799365,0.018263347,-0.021114998,-0.03718066,-0.056567308
101324,-0.127983498,51.50673361,202207,-0.034952424,0.043681446,-0.014490711,0.27597922,0.06479288,0.08079469,0.068582416,0.013833628,-0.059552558,-0.022169055
101325,-0.130852088,51.50959322,202304,0.103706405,-0.13156946,-0.048343755,0.061016858,0.058762603,0.070693314,-0.04006016,-0.010198782,-0.03508255,0.02316293
101329,-0.1476157,51.5057766,202304,0.02021236,0.04523698,-0.10465618,0.106794626,0.01682396,0.020010259,-0.03480004,0.003996496,-0.018672721,-0.008558537
101565,-0.125613421,51.51155575,202304,-0.00673041,-0.04462423,-0.13764396,0.08176784,-0.04786986,-0.0071363384,-0.027595434,0.018561522,-0.021436686,0.053631667
101727,-0.120228065,51.52714928,202208,0.13697511,0.19691494,-0.13154662,-0.1175217,0.08027442,-0.08204596,-0.013599557,-0.0024071517,0.09601694,0.065542296
101728,-0.120323755,51.52736595,202208,0.15251796,0.18453385,-0.13809982,-0.18185785,0.119077444,-0.080144405,0.06509692,-0.057236172,0.09001165,0.045467243
101749,-0.1201107,51.5269376,202407,0.034633942,0.21326621,-0.0007399484,-0.2178898,0.1093421,-0.0149667915,0.04805245,-0.0503868,0.008196276,0.06416217
101799,-0.121037849,51.52697006,202208,0.06410576,0.22994915,0.01837414,-0.14774388,0.07253088,-0.060466357,0.030156473,-0.031336516,0.08493982,-0.00953668
101800,-0.121170696,51.52717543,202208,0.12145998,0.1558055,-0.029505586,-0.17644493,0.10955747,-0.09678753,-0.02023682,-0.050707668,0.063669205,-0.010074436
101801,-0.121518889,51.52713004,202208,0.112138174,0.20031859,0.005490603,-0.16848634,0.12162192,-0.121171676,-0.04718989,-0.065832935,0.050561506,0.028135598
101802,-0.12186556,51.52706882,202208,0.18052123,0.1861819,0.014855327,-0.1483521,0.08802649,-0.12199432,-0.05334482,-0.04682729,0.051583577,-0.011475579
101806,-0.1209209,51.5267575,202407,-0.11234865,0.2610709,-0.0039366563,-0.10169927,0.001771679,-0.028395453,0.007924695,-0.06831656,0.02884428,0.09833547
101809,-0.12221223,51.52700759,202208,0.14934097,0.18476999,-0.017594831,-0.18457747,0.109550394,-0.116077594,-0.05303872,-0.025684461,0.016498134,0.046121288
101810,-0.122192721,51.52677746,202208,0.08124359,0.20853348,-0.019356873,-0.14626361,0.09312166,-0.13009724,0.018038336,-0.028366083,0.044651143,0.04324994
101811,-0.122091089,51.52656185,202208,0.010248374,0.13927165,0.0038307048,-0.13768676,0.0438697,-0.04014161,-0.02023831,0.013181675,0.009333664,-0.03121648
